product_category_name,product_category_name_english
cool_stuff,cool_stuff
beleza_saude,health_beauty
construcao_ferramentas_seguranca,construction_tools_safety
moveis_decoracao,furniture_decor
fashion_roupa_feminina,fashio_female_clothing
eletroportateis,small_appliances
alimentos_bebidas,food_drink
eletrodomesticos,home_appliances
artes,art
papelaria,stationery
market_place,market_place
relogios_presentes,watches_gifts
musica,music
esporte_lazer,sports_leisure
pcs,computers
moveis_escritorio,office_furniture
cine_foto,cine_photo
casa_conforto,home_confort
bebidas,drinks
moveis_sala,furniture_living_room
ferramentas_jardim,garden_tools
artigos_de_festas,party_supplies
industria_comercio_e_negocios,industry_commerce_and_business
fashion_roupa_masculina,fashion_male_clothing
utilidades_domesticas,housewares
artigos_de_natal,christmas_supplies
fashion_underwear_e_moda_praia,fashion_underwear_beach
alimentos,food
moveis_quarto,furniture_bedroom
consoles_games,consoles_games
